id,created_at,text,retweet_count,favorite_count,media_count,url_count,Classification
1108426862903074817,2019-03-20 17:55:32,"b""RT @evolvepolitics: No, Donald Tusk did NOT say if MPs reject May's deal again, it's No Deal!\n\nHe stated that a *short* extension is condit\xe2\x80\xa6""",99,0,0,0,Labour
1108422539972358144,2019-03-20 17:38:21,b'RT @alexwickham: To calm certain tweeters... May is not calling an election tonight',94,0,0,0,UKIP
1108421696137162753,2019-03-20 17:35:00,"b'It\xe2\x80\x99s now going to be claimed Labour has to back a deal Remainers and Leavers are uniting in opposing, or it\xe2\x80\x99s No De\xe2\x80\xa6 https://t.co/gBc05k8Cxs'",186,453,0,1,Labour
1108418509091020800,2019-03-20 17:22:20,b'RT @hansmollman: Theresa May\xe2\x80\x99s constant statements outside Downing Street is the political equivalent of a work meeting that could have bee\xe2\x80\xa6',2223,0,0,0,Labour
1108415507697467393,2019-03-20 17:10:25,b'RT @Peston: Dominic Grieve: \xe2\x80\x9cI have never been more ashamed to be a member of the Conservative Party\xe2\x80\x9d',1661,0,0,0,Conservative
1108406031208628230,2019-03-20 16:32:45,"b'Britain is being forced to back a deal which both Remainers and Leavers agree is terrible, which has been overwhelm\xe2\x80\xa6 https://t.co/ArTGIEc5zN'",151,526,0,1,LibDem
1108393718267215875,2019-03-20 15:43:50,b'RT @mikeysmith: https://t.co/3foERQARnW',292,0,1,0,Labour
1108386063683330050,2019-03-20 15:13:25,"b""RT @evolvepolitics: This prominent Tory campaigner is refusing to delete a brazenly fake tweet claiming to show 'Islamists in Pakistan burn\xe2\x80\xa6""",265,0,0,0,Labour
1108371334571220992,2019-03-20 14:14:53,b'Join us for Episode #264 of How the Tory Party Reduced Britain to an International Laughing Stock https://t.co/LRTmSRRMLB',52,186,0,1,Labour
1108370505281597445,2019-03-20 14:11:35,b'RT @D_Shariatmadari: A tweet by @TheaDickinson stating that a church in Pakistan has been burned down in revenge for the Christchurch attac\xe2\x80\xa6',187,0,0,0,UKIP
1108364387625193472,2019-03-20 13:47:17,b'How Britain was brought to its knees by a generation-long internal Tory Party power struggle is a book that really needs to be written.',336,1399,0,0,Labour
1108362608795623425,2019-03-20 13:40:12,"b'My friends have set up a super cool cosy cafe in Barnsbury, London. You should definitely check it out, it\xe2\x80\x99s called\xe2\x80\xa6 https://t.co/kSRNklj9vs'",8,79,0,1,Non-Aligned
1108355682284257281,2019-03-20 13:12:41,"b""RT @paulwaugh: Meanwhile Labour's shadow cabinet yesterday had local election report which made 'grim reading' on doorstep feedback. Labour\xe2\x80\xa6""",70,0,0,0,Labour
1108353061456617475,2019-03-20 13:02:16,"b'RT @BBCPolitics: ""She is the roadblock to this House reaching a majority""\n\nFormer Labour leader @Ed_Miliband blames Theresa May for #Brexit\xe2\x80\xa6'",607,0,0,0,Labour
1108349662904438784,2019-03-20 12:48:46,b'@robdelaney @mattzarb \xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f',0,58,0,0,Labour
1108349633217155072,2019-03-20 12:48:39,b'RT @robdelaney: Hard to post this but I feel a duty to other bereaved parents &amp; siblings. https://t.co/arrjrka9Ee',1627,0,0,1,DUP
1108347483564969989,2019-03-20 12:40:06,b'Labour must speak out on this. https://t.co/VCnxtxOsdT',114,446,0,1,LibDem
1108313798690160642,2019-03-20 10:26:15,"b'RT @OwenJones84: If everyone listened to @akalamusic, the world would be a much better place. https://t.co/AtmkUqS624'",564,0,1,0,Green
1108310666815959041,2019-03-20 10:13:49,b'RT @AdrianHarrop: It is difficult to establish who at @TheEconomist is responsible for this appalling headline; but when considered alongsi\xe2\x80\xa6',172,0,0,0,LibDem
1108176300559208449,2019-03-20 01:19:53,b'RT @SayeedaWarsi: Wow just wow \nRevolving door racism is the new policy it seems. \nMy party @Conservatives hits a new low. \nMedia storm lea\xe2\x80\xa6',2645,0,0,0,Conservative
